,Name,Address,Rating,Latitude,Longitude,Google Maps Link
0,Prague Yoga Collective Letná,"Letenské nám. 748, 170 00 Praha 7-Holešovice, Czechia",4.9,50.1000461,14.4247858,https://www.google.com/maps/place/?q=place_id:ChIJjQwjiZSVC0cRbxglRXzSfDg
1,Prague Yoga Collective Rejsková,"Rejskova 2, 120 00 Praha 2-Vinohrady, Czechia",4.8,50.0669826,14.4333469,https://www.google.com/maps/place/?q=place_id:ChIJjeT9KbaUC0cRFcIAzXxrrvs
2,YOGASPACE - Yoga in Prague,"Drtinova 325/11, 150 00 Praha 5-Smíchov, Czechia",4.9,50.0771245,14.401987,https://www.google.com/maps/place/?q=place_id:ChIJi33HBPyUC0cRpIjNYEhNSSo
3,Karlin Yoga,"Březinova 13, 186 00 Karlín, Czechia",4.8,50.0930338,14.4566242,https://www.google.com/maps/place/?q=place_id:ChIJRaq1u6aUC0cRT0irnGqP2ao
4,Iyengar Yoga Institute in Prague,"Vodičkova 736/15, 110 00 Nové Město, Czechia",4.7,50.0800393,14.4231626,https://www.google.com/maps/place/?q=place_id:ChIJY67i2pGUC0cR5mLKVrLce5o
5,Aloha jóga,"Jugoslávských partyzánů 26, 160 00 Praha 6-Dejvice, Czechia",4.9,50.1053389,14.39514,https://www.google.com/maps/place/?q=place_id:ChIJvZdTDy2VC0cRhbPDgJZL57Q
6,Prague Yoga Collective Karlín,"Karolinská 706/3, 186 00 Praha 8-Karlín, Czechia",4.6,50.0946955,14.4442131,https://www.google.com/maps/place/?q=place_id:ChIJIxxyFaSVC0cRHfpIEGKygHo
7,YOGAME STUDIO,"Národní 340/21, 110 00 Staré Město, Czechia",4.7,50.0821979,14.4175811,https://www.google.com/maps/place/?q=place_id:ChIJhweGOu6UC0cRm7_g3WxHG8M
8,Yoga 4 everybody,"Jungmannova 22/9, 110 00 Nové Město, Czechia",4.8,50.080285,14.4219955,https://www.google.com/maps/place/?q=place_id:ChIJh3J_k-KVC0cRTDbSlrjXfPc
9,Le Soul Yoga studio,"Havelská 8, 110 00 Staré Město, Czechia",5.0,50.08447349999999,14.4207632,https://www.google.com/maps/place/?q=place_id:ChIJPVNu5MFzNEkRuzY1TcPQfB8
10,Karma Yoga Studio,"Korunní 25, 120 00 Praha 2-Vinohrady, Czechia",4.4,50.0754528,14.4422909,https://www.google.com/maps/place/?q=place_id:ChIJ_cwYq4WUC0cRUXiu9sz03zc
11,Yoga Prague,"Soukenická 2082, 110 00 Nové Město, Czechia",5.0,50.0910166,14.4287221,https://www.google.com/maps/place/?q=place_id:ChIJfVVaLMCUC0cR3IdstFvSHIo
12,Jóga Letná,"Dobrovského 666, 170 00 Praha 7-Holešovice, Czechia",4.7,50.0992414,14.4256402,https://www.google.com/maps/place/?q=place_id:ChIJW1dJqMWUC0cRRtkoy86fWt8
13,YOGA BLUE ART,"nám. J. z Poděbrad 1658, 130 00 Praha 3-Vinohrady, Czechia",4.9,50.0786401,14.4508458,https://www.google.com/maps/place/?q=place_id:ChIJRd245pyUC0cROWFwWAstfZo
14,SHALA Prague,"Trojanova 18, 120 00 Nové Město, Czechia",5.0,50.07421799999999,14.4167495,https://www.google.com/maps/place/?q=place_id:ChIJa1dxL_SUC0cRwuYoo2UJmiI
15,MOOD Yoga Karlin,"16, Křižíkova 226, 186 00 Praha 8-Karlín, Czechia",4.9,50.09119,14.4459428,https://www.google.com/maps/place/?q=place_id:ChIJA106hlCVC0cR3axRA1dXrJw
16,Yoga House - Vinohrady,"J. Masaryka 6, 120 00 Praha 2-Vinohrady, Czechia",4.7,50.0701669,14.4355608,https://www.google.com/maps/place/?q=place_id:ChIJ39QMdIiUC0cRKUWhpBETC2M
17,Pets Yoga Prague,"Senovážné nám. 978, 110 00 Nové Město, Czechia",4.4,50.0854802,14.4316932,https://www.google.com/maps/place/?q=place_id:ChIJJ4JhPIyVC0cRPDV6ttR7wNE
18,Hot Yoga 42 Studio,"Chrudimská 2526/2a, 130 00 Praha 3-Vinohrady, Czechia",4.8,50.0770968,14.4626042,https://www.google.com/maps/place/?q=place_id:ChIJf_SUl2STC0cRSOl7e-cJoSI
19,Yoga House - Chodov,"Hráského 2231/25, 148 00 Praha 11-Chodov, Czechia",4.9,50.0287722,14.4907648,https://www.google.com/maps/place/?q=place_id:ChIJ3fY1cy2SC0cRpfQSsZ6BIMI
20,Yoga Movement,"Na Zatlance 8, 150 00 Praha 5-Smíchov, Czechia",4.7,50.06923339999999,14.3997691,https://www.google.com/maps/place/?q=place_id:ChIJ4VUGmFaUC0cRG9Oj-7ZUl9w
21,Jógovna,"Jindřišská 901, 110 00 Nové Město, Czechia",4.8,50.0832621,14.4269044,https://www.google.com/maps/place/?q=place_id:ChIJY8-92-yUC0cRjR5HUSVqsAY
22,Yoga Dealers Ashtanga Yoga Shala,"V Olšinách 744/130, 100 00 Strašnice, Czechia",5.0,50.0734331,14.5076705,https://www.google.com/maps/place/?q=place_id:ChIJfdJ2uwCVC0cRskCzxXSwexY
23,InnSaei,"nám. I. P. Pavlova 1785/3, Nové Město 120 00, 2 Praha 2, Czechia",4.8,50.0758023,14.4299844,https://www.google.com/maps/place/?q=place_id:ChIJ_3Z2FYyUC0cRd0Jpv1rqf4o
24,yogAlive | jóga a pilates na Vinohradech,"Mánesova 84, 120 00 Vinohrady, Czechia",4.8,50.0777039,14.4471805,https://www.google.com/maps/place/?q=place_id:ChIJYb9DVZuUC0cRs6JZdqNQbXM
25,Jóga studio Krymská,"Krymská 238/18, 101 00 Praha 10-Vršovice, Czechia",4.8,50.07135510000001,14.4494304,https://www.google.com/maps/place/?q=place_id:ChIJF5zLkoGUC0cRG7bQWD8DNQ0
26,Jóga spirit,"Malešická 19, 130 00 Praha 3-Žižkov, Czechia",5.0,50.0870056,14.4689684,https://www.google.com/maps/place/?q=place_id:ChIJKakmhayTC0cRnr4rcVe5bzg
27,Energy Studio Václav Krejčík,"Hellichova 1, 118 00 Malá Strana, Czechia",4.8,50.0842268,14.4058004,https://www.google.com/maps/place/?q=place_id:ChIJefoWhImUC0cRX-7aHvSqApg
28,STUDIO PilatesPraha,"Dr. Zikmunda Wintra 383, 160 00 Praha 6-Bubeneč, Czechia",5.0,50.1010608,14.4037966,https://www.google.com/maps/place/?q=place_id:ChIJJyv8lEbrC0cRN8pVN7l6-Gg
29,Studio AnYo,"Máchova 1122, 120 00 Vinohrady, Czechia",5.0,50.07099299999999,14.4398234,https://www.google.com/maps/place/?q=place_id:ChIJY1sTVoaUC0cR2M8XPwzvQYQ
30,Yoga House - Angel,"Ostrovského 11/16, 155 00 Praha 5-Smíchov, Czechia",4.2,50.068942,14.4020135,https://www.google.com/maps/place/?q=place_id:ChIJlZZ74FaUC0cRIxsXLuu-4mo
31,Studio Yoga Mija,"Hradešínská 2387/31, 101 00 Praha 10-Vinohrady, Czechia",4.8,50.0738955,14.4561339,https://www.google.com/maps/place/?q=place_id:ChIJxZCB3SKTC0cRMVDwHdasT2U
32,"Namastery, Ltd.","U Pernikářky 111/2a, 150 00 Praha 5, Czechia",5.0,50.0749225,14.3829279,https://www.google.com/maps/place/?q=place_id:ChIJj8dUKKiVC0cRbdSbXfNXyMY
33,Yoga Pets,"Vinohradská 1438/70, 130 00 Praha 3-Vinohrady, Czechia",5.0,50.0771025,14.4511646,https://www.google.com/maps/place/?q=place_id:ChIJAXZ_npqVC0cRcIv9ELyQaHc
34,Bliss Yoga Studio,"Lindleyova 2822/4, 160 00 Praha 6, Czechia",5.0,50.1119971,14.3910181,https://www.google.com/maps/place/?q=place_id:ChIJ04Cxq_SVC0cRHbMlQ-pKwC0
35,ORIGAMI yoga studio,"Chlumova 260/23, 130 00 Praha 3-Žižkov, Czechia",5.0,50.0868609,14.4527999,https://www.google.com/maps/place/?q=place_id:ChIJsdkkwOKVC0cRkh6c9p2DBHs
36,MOOD Yoga Vodičkova,"Vodičkova 1277/19, 110 00 Nové Město, Czechia",5.0,50.08056080000001,14.4236148,https://www.google.com/maps/place/?q=place_id:ChIJu8ObHACVC0cRl2iUkE7OBaw
37,Diana Laurichová,"Podvinný mlýn 2282/14, 190 00 Praha 9-Vysočany, Czechia",5.0,50.11069430000001,14.4875842,https://www.google.com/maps/place/?q=place_id:ChIJCQvCG7HtC0cRxVpBaD761L8
38,Bikram Yoga Prague - Pankrac,"Na Pankráci - průchod mezi č.p. 121 a 125, Na Pankráci, 140 00 Praha 4, Czechia",4.8,50.0529053,14.4396129,https://www.google.com/maps/place/?q=place_id:ChIJy0_icnaUC0cR54q0sb4JnQg
39,Jogamy studio,"U Krbu 2370/21, 100 00 Strašnice, Czechia",5.0,50.0829191,14.4907662,https://www.google.com/maps/place/?q=place_id:ChIJgXJnGL6TC0cRneuU6ElxEtQ
40,"Yoga in Daily Life in Prague, Z.S.","Blanická 2025, 120 00 Vinohrady, Czechia",4.9,50.0770642,14.4391051,https://www.google.com/maps/place/?q=place_id:ChIJj1N0jI-UC0cRO7RNRi1czO8
41,Jóga pro ženské zdraví - Mgr. Kateřina Nováková,"Pod Lysinami 479, 147 00 Praha 4-Hodkovičky, Czechia",5.0,50.0212972,14.4132778,https://www.google.com/maps/place/?q=place_id:ChIJ9eVFlIWXC0cRFGs1l1_7pbQ
42,Jemný svět,"Chopinova 1529, 120 00 Praha 2-Vinohrady, Czechia",5.0,50.0794141,14.444812,https://www.google.com/maps/place/?q=place_id:ChIJ-wlgHpuUC0cRV9rYBc9q3qc
43,Jitčina jóga - Jitka Janešová,"Do Zahrádek I 211/6, 155 21 Zličín, Czechia",5.0,50.05668980000001,14.2909112,https://www.google.com/maps/place/?q=place_id:ChIJO-5e0WC_C0cRB7JE7aefOto
44,Veru Joga studio,"Podle Kačerova 1074/1, 141 00 Praha 4-Michle, Czechia",5.0,50.046173,14.4610901,https://www.google.com/maps/place/?q=place_id:ChIJj7bWNYiVC0cRbkp40nTArwE
45,Jóga a funkční fitness V Korunách,"V Stráni 485, 150 00 Praha 5-Košíře, Czechia",5.0,50.0668754,14.3617261,https://www.google.com/maps/place/?q=place_id:ChIJC4KXUL2VC0cRqfPweZVaNLo
46,Klid Neklid jógové studio,"Moravská 1622/36, 120 00 Vinohrady, Czechia",5.0,50.0742916,14.44532,https://www.google.com/maps/place/?q=place_id:ChIJ6UOAzviVC0cRRkArr_n4AEc
47,Samata studio,"Jana Růžičky 1165/2a, 148 00 Praha 4, Czechia",4.8,50.0217408,14.4900268,https://www.google.com/maps/place/?q=place_id:ChIJg6f1ylyTC0cRL-wGHz8Hnsg
48,Body Solution Yoga & Gym,"Zenklova 1545/39, 180 00 Praha 8-Libeň, Czechia",5.0,50.1090873,14.472241,https://www.google.com/maps/place/?q=place_id:ChIJeVgBbk3tC0cRdeu6MKGzQwQ
49,Studio Samádhi,"Oplanská 2614, 190 16 Praha 21, Czechia",5.0,50.07762959999999,14.6476417,https://www.google.com/maps/place/?q=place_id:ChIJnVlmGICNC0cRC9aGksdLIG4
50,Studio CERE,"Podolské nábř., 147 00 Praha 4, Czechia",4.8,50.0590912,14.4183494,https://www.google.com/maps/place/?q=place_id:ChIJ0S3eOb_qC0cR8zGnpGHtj0Y
51,Octárna Holešovice,"Argentinská 24, 170 00 Praha 7-Holešovice, Czechia",4.9,50.1042415,14.4436326,https://www.google.com/maps/place/?q=place_id:ChIJC7G4graUC0cRf14gwmpXRto
52,Studio Hvězda,"Křenova 11, 160 00 Praha 6, Czechia",4.9,50.0889259,14.3437828,https://www.google.com/maps/place/?q=place_id:ChIJ--3yaH2VC0cRxFrC4whg8ec
53,Lenka Štědronská - jóga,"V. P. Čkalova 26, 160 00 Praha 6, Czechia",5.0,50.101118,14.401573,https://www.google.com/maps/place/?q=place_id:ChIJEfmW4O198WsRjQ0qB1wKHaQ
54,NUNA STUDIO,"Těšínská 600/4, 181 00 Praha 8, Czechia",5.0,50.1284906,14.4192284,https://www.google.com/maps/place/?q=place_id:ChIJLRsLrMPrC0cRLF1_Gz_OYt8
55,YOGA - PILATES - Massage - Therapy,"Charkovská 333, 101 00 Praha 10-Vršovice, Czechia",5.0,50.0703083,14.4477322,https://www.google.com/maps/place/?q=place_id:ChIJ9QB3r4GUC0cRfFWyoNzKjGE
56,Little Bali,"Ve Smečkách 22, 110 00 Nové Město, Czechia",4.7,50.0789368,14.4271499,https://www.google.com/maps/place/?q=place_id:ChIJVxkTwLmVC0cRbJqX33dVkWc
57,Centrum hormonální jógy - hormonální jóga,"Umělecká 4, 170 00 Praha 7-Holešovice, Czechia",5.0,50.1018759,14.4280029,https://www.google.com/maps/place/?q=place_id:ChIJjTD1wnOUC0cR76ymli0ITBc
58,Pohyb Nová Harfa,"Poděbradská 777/9b, 190 00 Praha 9-Vysočany, Czechia",5.0,50.1027849,14.51029,https://www.google.com/maps/place/?q=place_id:ChIJKVA9kIbtC0cRImdNgRWIaPo
59,Kundalini Yoga Center,"Jindřišská 10, 110 00 Nové Město, Czechia",5.0,50.0829883,14.4271235,https://www.google.com/maps/place/?q=place_id:ChIJNfZ71-yUC0cR18zOafhek4Y
60,Taťána Ametová,"Pod Nouzovem 1086/38, 197 00 Praha 19, Czechia",5.0,50.1389601,14.5505594,https://www.google.com/maps/place/?q=place_id:ChIJEYX9C43sC0cRznMzv3YoFUA
61,JOGA CENTRUM,"Nepilova 1, 190 00 Praha 9, Czechia",4.7,50.110793,14.4960319,https://www.google.com/maps/place/?q=place_id:ChIJt_vYH7fsC0cR7HO33dkDIUM
62,Prema Joga,"Dvorecká 1165/1, 147 00 Praha 4-Podolí, Czechia",4.6,50.0456233,14.4201381,https://www.google.com/maps/place/?q=place_id:ChIJV2ADYACVC0cRM7elyPtPviw
63,Yogacentrum Praha,"Na Maninách 1144/29A, 170 00 Praha 7-Holešovice, Czechia",4.4,50.10605630000001,14.4512957,https://www.google.com/maps/place/?q=place_id:ChIJ8Sw0OH_rC0cRawgpT4Rl2ok
64,Peace Yoga Studio,"Petržílkova 2589, 158 00 Praha 13-Stodůlky, Czechia",5.0,50.0506331,14.3431511,https://www.google.com/maps/place/?q=place_id:ChIJ73IZFu-VC0cRqE0GPfS8TMs
65,Studio Sedmé nebe,"Steinerova 974/20, 149 00 Praha 11, Czechia",5.0,50.0303434,14.5342018,https://www.google.com/maps/place/?q=place_id:ChIJvWt15w2SC0cR8ub5WoKlP3k
66,Mind Studio,"Křovinovo nám. 9/12, 193 00 Praha 20, Czechia",5.0,50.11586459999999,14.6286054,https://www.google.com/maps/place/?q=place_id:ChIJFzOn3u3yC0cRbacFok66JaM
67,Yogarden,"Letenské nám. 1, 170 00 Praha 7-Holešovice, Czechia",4.5,50.1003215,14.4230017,https://www.google.com/maps/place/?q=place_id:ChIJn61GSc-VC0cRwvvqW6CF4zk
68,zuzasana JÓGA,"Opletalova 1015/55, 110 00 Nové Město, Czechia",5.0,50.0866123,14.434799,https://www.google.com/maps/place/?q=place_id:ChIJaUoqK6mVC0cRBl-Fpzbv6B0
69,Mystery Yoga,"5.patro Černá Labuť, Na Poříčí 1067/25, Nové Město, 110 00 Praha, Czechia",5.0,50.09020150000001,14.4343624,https://www.google.com/maps/place/?q=place_id:ChIJN_noM9iVC0cRydwMUpxklfg
70,Ānanda Astānga Yoga Śālā,"Na Topolce 1178, 140 00 Praha 4-Podolí, Czechia",5.0,50.0590316,14.4259124,https://www.google.com/maps/place/?q=place_id:ChIJHXWUe2-UC0cRvtWJPhqeAXg
71,Meditační centrum Praha Sahadža Jóga,"Lipanská 4, 130 00 Praha 3-Žižkov, Czechia",4.8,50.0836812,14.4532284,https://www.google.com/maps/place/?q=place_id:ChIJdftE8p6UC0cRtTNqf8t2Fb8
72,Studio FASCINACE,"Újezd 450, 118 00 Malá Strana, Czechia",5.0,50.0834638,14.4049086,https://www.google.com/maps/place/?q=place_id:ChIJtxvUTuOUC0cRGim3hxKIuBo
73,The Pilates Room Prague,"Jičínská 1346/6, 130 00 Praha 3-Vinohrady, Czechia",4.9,50.077341,14.4612348,https://www.google.com/maps/place/?q=place_id:ChIJ_fJJLRSTC0cRfVgVdv2K7ZE
74,"Arha, studio zdraví a relaxace","V. P. Čkalova 797/26, 160 00 Praha 6-Bubeneč, Czechia",4.9,50.10115769999999,14.4015033,https://www.google.com/maps/place/?q=place_id:ChIJx680hSaVC0cRpAb8JfBpwyg
75,Sports Center YMCA,"Na Poříčí 1041/12, 110 00 Nové Město, Czechia",4.2,50.0891332,14.4311669,https://www.google.com/maps/place/?q=place_id:ChIJRz30tOqUC0cR5ovNFFScjHM
76,"My Sky Studio - Aerial silks, Aerial hoop, Pole dance, Stretching, Fly yoga","Sokolovská 32/22, 186 00 Karlín, Czechia",4.9,50.0915347,14.4408421,https://www.google.com/maps/place/?q=place_id:ChIJS3P_zxqVC0cRMGWPD3WWqpM
77,Mothergood,"YOGA BLUE ART, nám. J. z Poděbrad 1658, 130 00 Vinohrady, Czechia",5.0,50.0788484,14.4505776,https://www.google.com/maps/place/?q=place_id:ChIJJSdvBkSVC0cRhRIxOB66vDY
78,Poppy Pilates Prague,"U Půjčovny 952/2, 110 00 Nové Město, Czechia",4.5,50.0838437,14.4305654,https://www.google.com/maps/place/?q=place_id:ChIJLY28YBiVC0cRvonx4iwzGn0
79,Studio Barre Prague,"Patočkova 2386/83, 160 00 Praha 6-Břevnov, Czechia",4.6,50.0851969,14.3647773,https://www.google.com/maps/place/?q=place_id:ChIJG8jRI5qVC0cR9ouiqxIBOGM
80,True Pilates Prague,"Purkyňova 74, 110 00 Nové Město, Czechia",4.6,50.0811167,14.4200793,https://www.google.com/maps/place/?q=place_id:ChIJX8RA_-2UC0cRxyW4zRrqQE4
81,Spirit Space,"Žitná 7, 110 00 Nové Město, Czechia",3.3,50.07711510000001,14.4280488,https://www.google.com/maps/place/?q=place_id:ChIJiX5hQ3CVC0cRrnWAN8T7moM
82,YOGA & ART,"Bělohorská 262/35, 169 00 Praha 6-Břevnov, Czechia",4.6,50.0843071,14.3753447,https://www.google.com/maps/place/?q=place_id:ChIJlQEQsw2VC0cREdGKaSzaMis
83,Balance Point,"Na Bojišti 20, 120 00 Nové Město, Czechia",5.0,50.0738875,14.4284226,https://www.google.com/maps/place/?q=place_id:ChIJVXjdqU-VC0cR0F65ptvYtSY
84,"Trendigo Studio - Pole Dance, Aerial Hoop Fitness","Nuselská 142/9, 140 00 Praha 4-Nusle, Czechia",5.0,50.0635099,14.4428744,https://www.google.com/maps/place/?q=place_id:ChIJlxNF3H6UC0cRLsX_dEGTmpI
85,VM STRETCHING,"Na Moráni 360/3, 128 00 Nové Město, Czechia",5.0,50.0734167,14.4153065,https://www.google.com/maps/place/?q=place_id:ChIJzaoWriyVC0cRKj6b0Fdcv9g
86,Lenka Krejčová Barre Academy,"Jankovcova 16b/1639, 170 00 Praha 7-Holešovice, Czechia",4.5,50.10890269999999,14.4535465,https://www.google.com/maps/place/?q=place_id:ChIJSdNxuT3rC0cRUYAP4riJHxM
87,Tereza Hausmanová Yoga,"M. Horákové 53, 170 00 Praha 7-Holešovice, Czechia",5.0,50.0998369,14.4264103,https://www.google.com/maps/place/?q=place_id:ChIJRayr8i-VC0cROTz_w9OlVH4
88,Xplore Fitness,"Na Příkopě 17/1047, 110 00 Staré Město, Czechia",4.6,50.0855324,14.4250594,https://www.google.com/maps/place/?q=place_id:ChIJLazjeOyUC0cRMOFx5go2bPo
89,Salt Cave and Heat center Strašnice,"Černokostelecká 106, 100 00 Strašnice, Czechia",4.1,50.0774664,14.5056787,https://www.google.com/maps/place/?q=place_id:ChIJuQ6cMhmTC0cR-LGb6OgC6ng
90,FORM FACTORY Malešice,"Nad úžlabinou 708/5, 108 00 Praha 10, Czechia",3.9,50.0802921,14.4993722,https://www.google.com/maps/place/?q=place_id:ChIJ72AHMgCTC0cRcRpPTqiWtxs
91,Mata jóga,"Nad Primaskou 1179/27, 100 00 Strašnice, Czechia",4.6,50.0748669,14.4895189,https://www.google.com/maps/place/?q=place_id:ChIJkTYzv_yTC0cRwERUOZlFLwY
92,Fitness Victory Záběhlice,"Topolová 2963, 106 00 Praha 10-Záběhlice, Czechia",4.7,50.05614569999999,14.5075104,https://www.google.com/maps/place/?q=place_id:ChIJPRZFcOmTC0cRMioYh4_Smd8
94,S L A V IA Fitness,"Vladivostocká 1460/10b, 100 00 Praha 10-Vršovice, Czechia",4.2,50.0685954,14.4781583,https://www.google.com/maps/place/?q=place_id:ChIJHavbrQyTC0cRVMY99zC56To
95,Agoge Gym,"Na Jarově 2424/2, 130 00 Praha 3-Žižkov, Czechia",5.0,50.0882192,14.491762,https://www.google.com/maps/place/?q=place_id:ChIJxeJftRmSC0cRSBVdsXMNFWM
96,Form Factory Fitness Center Hostivař,"Švehlova 1391/32, 102 00 Praha 10-Hostivař, Czechia",4.2,50.0533949,14.5172819,https://www.google.com/maps/place/?q=place_id:ChIJ7dtvi1mSC0cRQR00WEqgOC0
97,Form Factory Fitness Club Vinohradská,"Vinohradská 190, 130 00 Praha 3-Žižkov, Czechia",4.1,50.078131,14.4743419,https://www.google.com/maps/place/?q=place_id:ChIJ0Tx_wm6TC0cRtns83u7134Y
98,edenio,"Za Potokem, 106 00 Praha 10, Czechia",4.9,50.0512613,14.4957053,https://www.google.com/maps/place/?q=place_id:ChIJiYBE8OuTC0cRGSqlNXUag_M
99,Sports Martial Arts Club Hostivař,"Trhanovské nám. 179, 102 00 Praha 15, Czechia",4.9,50.0519524,14.5256122,https://www.google.com/maps/place/?q=place_id:ChIJlTnxf16SC0cRm_CqqAXN7z8
